Job Title,Job Link,Agency,Location,Pay,Section,Posted Date,latitude,longitude,MinAnnualSalary,MaxAnnualSalary
GIS Tech 2025-00607,https://www.governmentjobs.com/jobs/4858565-0/gis-tech-2025-00607,State of Wyoming,"Cheyenne, WY",Permanent Full-time - $24.78 - $27.53 Hourly,GIS,,41.139981,-104.82025,51542.4,57262.4
Senior GIS Analyst,https://www.governmentjobs.com/jobs/4870963-0/senior-gis-analyst,City of Centennial,"Centennial, CO","Full-time - $67,560.00 - $84,450.00 Annually",GIS,,39.579155,-104.87692,67560,84450
GIS Specialist I,https://www.governmentjobs.com/jobs/4870801-0/gis-specialist-i,Minnesota City Jobs,Saint Paul,FT - $25.47 - $35.49 Hourly,GIS,,44.949749,-93.09310,52977.6,73819.2
Geospatial Program Manager - 60014160,https://www.governmentjobs.com/jobs/4868747-0/geospatial-program-manager-60014160,State of South Carolina,"Richland County, SC","FTE - Full-Time - $68,397.00 - $126,547.00 Annually",GIS,,34.019001,-80.91768,68397,126547
GIS Specialist,https://www.governmentjobs.com/jobs/4870570-0/gis-specialist,State of North Carolina,"Wake County, NC","Permanent Full-Time - $54,657.00 - $81,986.00 Annually",GIS,,35.797936,-78.61183,54657,81986
Transportation & Air Quality Planner/Analyst,https://www.governmentjobs.com/jobs/4856182-0/transportation-air-quality-planner-analyst,Metropolitan Transportation Commission,"San Francisco, CA","Regular/Full-Time - $105,092.00 - $153,663.12 Annually",Environmental,,37.779259,-122.41933,105092,153663.12
GIS Solutions Engineer,https://www.governmentjobs.com/jobs/4867032-0/gis-solutions-engineer,City of West Hollywood,"West Hollywood, CA","Full-time Regular Status - $126,773.88 - $161,991.24 Annually",GIS,,34.092301,-118.36929,126773.88,161991.24
GIS Specialist - Senior,https://www.governmentjobs.com/jobs/4838419-0/gis-specialist-senior,King County,"Seattle, WA","Career Service, Full Time, 40 hrs/week - $111,260.45 - $141,028.99 Annually",GIS,,47.603832,-122.33006,111260.45,141028.9
GIS Intern,https://www.governmentjobs.com/jobs/4867871-0/gis-intern,Boulder County,"Boulder, CO",Hourly - $24.04 Hourly,GIS,,40.014986,-105.27055,,50003.2
"Environmental Scientist, Geologist, Engineer, or Hydrogeologist*",https://www.governmentjobs.com/jobs/4863884-0/environmental-scientist-geologist-engineer-or-hydrogeologist,"Madison, City of (WI)","Madison, WI","PERMANENT FULL TIME - $76,903.32 - $100,326.72 Annually",Environmental,,43.074761,-89.38376,76903.32,100326.72
