Job Title,Job Link,Agency,Location,Pay,Section,Posted Date,latitude,longitude,MinAnnualSalary,MaxAnnualSalary
GIS Technician I,https://www.governmentjobs.com/jobs/4861001-0/gis-technician-i,Imperial Irrigation District,"El Centro, CA (Valley Plaza)","Full-time - $58,195.00 - $74,323.00 Annually",GIS,,36.116203,-119.681564,58195,74323
Land Records System Coordinator,https://www.governmentjobs.com/jobs/4872485-0/land-records-system-coordinator,"City and County of Butte-Silver Bow, MT","Silver-Bow County, MT","Full-time, Regular - $59,854.00 - $70,417.00 Annually",Natural Resources,,45.9009106,-112.6788845,59854,70417
LAND SPECIALIST 1-3,https://www.governmentjobs.com/jobs/4871794-0/land-specialist-1-3,State of Louisiana,"Baton Rouge, LA","Classified - $35,064.00 - $68,808.00 Annually",Natural Resources,,30.4494155,-91.1869659,35064,68808
GIS Tech 2025-00607,https://www.governmentjobs.com/jobs/4858565-0/gis-tech-2025-00607,State of Wyoming,"Cheyenne, WY",Permanent Full-time - $24.78 - $27.53 Hourly,GIS,,41.139981,-104.820246,51542.4,57262.4
Senior GIS Analyst,https://www.governmentjobs.com/jobs/4870963-0/senior-gis-analyst,City of Centennial,"Centennial, CO","Full-time - $67,560.00 - $84,450.00 Annually",GIS,,39.579155,-104.8769227,67560,84450
GIS Specialist I,https://www.governmentjobs.com/jobs/4870801-0/gis-specialist-i,Minnesota City Jobs,Saint Paul,FT - $25.47 - $35.49 Hourly,GIS,,44.9454108089846,-93.095584859746,52977.6,73819.2
Geospatial Program Manager - 60014160,https://www.governmentjobs.com/jobs/4868747-0/geospatial-program-manager-60014160,State of South Carolina,"Richland County, SC","FTE - Full-Time - $68,397.00 - $126,547.00 Annually",GIS,,34.0190006,-80.9176832,68397,126547
GIS Specialist,https://www.governmentjobs.com/jobs/4870570-0/gis-specialist,State of North Carolina,"Wake County, NC","Permanent Full-Time - $54,657.00 - $81,986.00 Annually",GIS,,35.7979355,-78.6118311,54657,81986
Transportation & Air Quality Planner/Analyst,https://www.governmentjobs.com/jobs/4856182-0/transportation-air-quality-planner-analyst,Metropolitan Transportation Commission,"San Francisco, CA","Regular/Full-Time - $105,092.00 - $153,663.12 Annually",Environmental,,37.7792588,-122.4193286,105092,153663.12
GIS Solutions Engineer,https://www.governmentjobs.com/jobs/4867032-0/gis-solutions-engineer,City of West Hollywood,"West Hollywood, CA","Full-time Regular Status - $126,773.88 - $161,991.24 Annually",GIS,,34.0923014,-118.3692894,126773.88,161991.24
