Job Title,Job Link,Agency,Location,Pay,Section,latitude,longitude,google_maps_url,MinAnnualSalary,MaxAnnualSalary
Naturalist II - Parks and Recreation,https://www.governmentjobs.com/jobs/119935-1/naturalist-ii-parks-and-recreation,Full-Time - See Position Description,"Prince Frederick, MD",,Parks & Recreation,38.54060749999999,-76.58351285647468,"https://www.google.com/maps/search/?api=1&query=38.54060749999999,-76.58351285647468",,
Environmental Services Manager - Solid Waste & Recycling,https://www.governmentjobs.com/jobs/4846026-0/environmental-services-manager-solid-waste-recycling,Town of Gilbert,"AZ 85297, AZ","Full Time - $99,527.00 - $149,290.00 Annually",Environmental,38.1342615,42.4285549,"https://www.google.com/maps/search/?api=1&query=38.1342615,42.4285549",99527.0,149290.0
Water Conservation Data Technician II,https://www.governmentjobs.com/jobs/4863632-0/water-conservation-data-technician-ii,Imperial Irrigation District,"Imperial, CA","Full-time - $67,382.00 - $85,980.00 Annually",Natural Resources,33.0305487,-115.3595666,"https://www.google.com/maps/search/?api=1&query=33.0305487,-115.3595666",67382.0,85980.0
Forestry Team Lead - Area 45,https://www.governmentjobs.com/jobs/4863229-0/forestry-team-lead-area-45,State of Mississippi,"56 - PERRY COUNTY, MS","Full-Time - $55,000.00 - $71,208.86 Annually",Forestry,31.18433867560924,-88.83392902297817,"https://www.google.com/maps/search/?api=1&query=31.18433867560924,-88.83392902297817",55000.0,71208.86
Special Programs Coordinator - Outdoor Recreation,https://www.governmentjobs.com/jobs/4854405-0/special-programs-coordinator-outdoor-recreation,Metropolitan Government of Nashville & Davidson County,"Nashville, TN","Full-Time Civil Service - $57,958.26 Annually",Parks & Recreation,36.1622767,-86.7742984,"https://www.google.com/maps/search/?api=1&query=36.1622767,-86.7742984",,57958.26
Environmental Compliance Specialist,https://www.governmentjobs.com/jobs/4863394-0/environmental-compliance-specialist,City of Irving,"City of Irving, TX","Technical - $54,768.00 - $77,208.00 Annually",Environmental,32.81389,-96.95609,"https://www.google.com/maps/search/?api=1&query=32.81389,-96.95609",54768.0,77208.0
"Forest Maintenance Worker (Semi Skilled Laborer) (Seasonal) - Forbes Forest District, Fayette County",https://www.governmentjobs.com/jobs/4856457-0/forest-maintenance-worker-semi-skilled-laborer-seasonal-forbes-forest-distr,Commonwealth of Pennsylvania,"Fayette County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,39.921022,-79.6663803,"https://www.google.com/maps/search/?api=1&query=39.921022,-79.6663803",,37544.0
Environmental Health Seasonal Support,https://www.governmentjobs.com/jobs/4864763-0/environmental-health-seasonal-support,Georgia Department of Public Health (GA),"DeKalb County, GA",Full Time Hourly - $20.00 Hourly,Environmental,33.7575613,-84.2186508,"https://www.google.com/maps/search/?api=1&query=33.7575613,-84.2186508",,41600.0
"Park Resource Ranger, DCNR - Colonel Denning Park Complex",https://www.governmentjobs.com/jobs/4861064-0/park-resource-ranger-dcnr-colonel-denning-park-complex,Commonwealth of Pennsylvania,"Cumberland County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,40.1541581,-77.2803933,"https://www.google.com/maps/search/?api=1&query=40.1541581,-77.2803933",,37544.0
"Forest Maintenance Worker (Seasonal) - Rothrock Forest District, Huntingdon County",https://www.governmentjobs.com/jobs/4861634-0/forest-maintenance-worker-seasonal-rothrock-forest-district-huntingdon-count,Commonwealth of Pennsylvania,"Huntingdon County, PA",Civil Service Seasonal Full-Time - $18.05 Hourly,Parks & Recreation,40.3446332,-78.0281185,"https://www.google.com/maps/search/?api=1&query=40.3446332,-78.0281185",,37544.0
Assistant County Ranger,https://www.governmentjobs.com/jobs/4862374-0/assistant-county-ranger,State of North Carolina,"Franklin County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,36.1028596,-78.2787229,"https://www.google.com/maps/search/?api=1&query=36.1028596,-78.2787229",35984.0,62971.0
Assistant County Ranger,https://www.governmentjobs.com/jobs/4862314-0/assistant-county-ranger,State of North Carolina,"Wilson County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,35.7059114,-77.9175714,"https://www.google.com/maps/search/?api=1&query=35.7059114,-77.9175714",35984.0,62971.0
Assistant County Ranger,https://www.governmentjobs.com/jobs/4864043-0/assistant-county-ranger,State of North Carolina,"Gates County, NC","Permanent Full-Time - $35,984.00 - $62,971.00 Annually",Parks & Recreation,36.4412509,-76.6944133,"https://www.google.com/maps/search/?api=1&query=36.4412509,-76.6944133",35984.0,62971.0
Air Quality Program Specialist,https://www.governmentjobs.com/jobs/4859287-0/air-quality-program-specialist,Commonwealth of Pennsylvania,"Dauphin County, PA","Civil Service Permanent Full-Time - $66,250.00 - $100,636.00 Annually",Environmental,40.398036,-76.8115168,"https://www.google.com/maps/search/?api=1&query=40.398036,-76.8115168",66250.0,100636.0
DCNR Ranger Trainee - Linn Run State Park Complex,https://www.governmentjobs.com/jobs/4859429-0/dcnr-ranger-trainee-linn-run-state-park-complex,Commonwealth of Pennsylvania,"Westmoreland County, PA",Civil Service Seasonal Full-Time - $21.03 Hourly,Parks & Recreation,40.2930159,-79.4873204,"https://www.google.com/maps/search/?api=1&query=40.2930159,-79.4873204",,43742.4
Utility Plant Specialist*,https://www.governmentjobs.com/jobs/4864177-0/utility-plant-specialist,City of Richmond,"Richmond, VA","Full-Time - $44,616.00 - $73,611.20 Annually",Water,37.5385087,-77.43428,"https://www.google.com/maps/search/?api=1&query=37.5385087,-77.43428",44616.0,73611.2
Environmental Resources Specialist 2 - Office of Environmental Health Services - Jefferson Co.,https://www.governmentjobs.com/jobs/4863175-0/environmental-resources-specialist-2-office-of-environmental-health-services,West Virginia,"Jefferson County, WV","Full-Time Permanent - $41,194.00 - $71,789.00 Annually",Environmental,39.2954767,-77.8782587,"https://www.google.com/maps/search/?api=1&query=39.2954767,-77.8782587",41194.0,71789.0
Assistant Environmental Engineer or Environmental Engineer,https://www.governmentjobs.com/jobs/119895-1/assistant-environmental-engineer-or-environmental-engineer,ACHD,"Garden City, ID","Full-Time - $69,472.00 - $89,440.00 Annually",Environmental,43.622111,-116.238178,"https://www.google.com/maps/search/?api=1&query=43.622111,-116.238178",69472.0,89440.0
Parks & Open Space - Summer 2025 Internships,https://www.governmentjobs.com/jobs/119892-1/parks-open-space-summer-2025-internships,Town of Erie,"Erie, CO",Temporary - $25.00 Hourly,Parks & Recreation,40.0502623,-105.049981,"https://www.google.com/maps/search/?api=1&query=40.0502623,-105.049981",,52000.0
Wastewater Plant Maintenance/Operator,https://www.governmentjobs.com/jobs/119888-1/wastewater-plant-maintenance-operator,Full-Time - Depends On Qualifications,"Kingstree, SC",,Water,33.6676643,-79.8306265,"https://www.google.com/maps/search/?api=1&query=33.6676643,-79.8306265",,
Land Manager (Environmental Specialist II) - Natural Areas and Trails - R19251,https://www.governmentjobs.com/jobs/119878-1/land-manager-environmental-specialist-ii-natural-areas-and-trails-r19251,Sarasota County Government,"Sarasota, FL","Full-Time - $53,456.00 - $56,000.00 Annually",Environmental,27.3365805,-82.5308545,"https://www.google.com/maps/search/?api=1&query=27.3365805,-82.5308545",53456.0,56000.0
Park Ranger I (21568),https://www.governmentjobs.com/jobs/119868-1/park-ranger-i-21568,Full-Time - Negotiable,"Titusville, FL",,Parks & Recreation,28.6126236,-80.8079545,"https://www.google.com/maps/search/?api=1&query=28.6126236,-80.8079545",,
Environmental Resources Specialist,https://www.governmentjobs.com/jobs/119870-1/environmental-resources-specialist,Placer County,"Auburn, CA","Full-Time - $90,417.60 - $112,923.20 Annually",Environmental,38.8945939,-121.0739897,"https://www.google.com/maps/search/?api=1&query=38.8945939,-121.0739897",90417.6,112923.2
Fish and Wildlife Technician 3 (Sand Point salmon genetics sampling-PCN 111906),https://www.governmentjobs.com/jobs/4862828-0/fish-and-wildlife-technician-3-sand-point-salmon-genetics-sampling-pcn-111906,State of Alaska,"Sand Point, AK",Seasonal - $32.25 Hourly,Fish & Wildlife,55.3403484,-160.4980639,"https://www.google.com/maps/search/?api=1&query=55.3403484,-160.4980639",,67080.0
Fish and Wildlife Technician 2 (Port Sampler-PCN 111870),https://www.governmentjobs.com/jobs/4862844-0/fish-and-wildlife-technician-2-port-sampler-pcn-111870,State of Alaska,"Craig, AK",Seasonal - $19.05 Hourly,Fish & Wildlife,55.4763889,-133.148333,"https://www.google.com/maps/search/?api=1&query=55.4763889,-133.148333",,39624.0
Wildland Fire & Resource Technician 3 - Prevention Technician (PCN 10-9463),https://www.governmentjobs.com/jobs/4862849-0/wildland-fire-resource-technician-3-prevention-technician-pcn-10-9463,State of Alaska,"Soldotna, AK",Seasonal - $29.90 Hourly,Forestry,60.4847228,-151.065349,"https://www.google.com/maps/search/?api=1&query=60.4847228,-151.065349",,62192.0
"Fish and Wildlife Technician 2 (Creel Technician-PCN 11N25039, 11N25040, 11N25041, 11N25042)",https://www.governmentjobs.com/jobs/4862836-0/fish-and-wildlife-technician-2-creel-technician-pcn-11n25039-11n25040-11n25041,State of Alaska,"Sitka, AK",Short Term Nonperm - $20.00 Hourly,Fish & Wildlife,57.4086082,-135.4596206,"https://www.google.com/maps/search/?api=1&query=57.4086082,-135.4596206",,41600.0
Forester 2 Area Resource Forester (PCN 10-9852),https://www.governmentjobs.com/jobs/4864538-0/forester-2-area-resource-forester-pcn-10-9852,State of Alaska,"Ketchikan, AK",Full Time - $29.73 Hourly,Forestry,55.3430696,-131.6466819,"https://www.google.com/maps/search/?api=1&query=55.3430696,-131.6466819",,61838.4
Fish and Wildlife Technician 3 (PCN 111416),https://www.governmentjobs.com/jobs/4862841-0/fish-and-wildlife-technician-3-pcn-111416,State of Alaska,"Sand Point, AK",Seasonal - $32.25 Hourly,Fish & Wildlife,55.3403484,-160.4980639,"https://www.google.com/maps/search/?api=1&query=55.3403484,-160.4980639",,67080.0
Fish and Wildlife Technician 3 (PCN 111936),https://www.governmentjobs.com/jobs/4862840-0/fish-and-wildlife-technician-3-pcn-111936,State of Alaska,"Craig, AK",Seasonal - $21.50 Hourly,Fish & Wildlife,55.4763889,-133.148333,"https://www.google.com/maps/search/?api=1&query=55.4763889,-133.148333",,44720.0
